sentiment,category,confidence,analysis_source,keywords,review_text
good,price,0.6,keyword,"อร่อย,ดี,เค็ม,ราคา,บาท",ร้านนี้เป็นร้านอาหารจีน ที่อยู่ตรงสีลมตัดกับช่องนนทรีครับ เดินจากรถไฟฟ้าช่องนนทรีมาได้ อาหารที่สั่งวันนี้ กุ้งทอดซอสแมกกี้ เป็นกุ้งตัวเล็กๆ เปลือกบาง รสชาติเค็มๆหวานๆกลมกล่อม อร่อยดีครับ ปลาเก๋านึ่งซีอิ๊ว รสชาติดีตามมาตรฐานครับ แต่ราคาตามน้ำหนักจานนี้ 800 บาทได้ ไก่ฉีก ผมว่าจานนี้ธรรมดา แปลกตรงน้ำจิ้มนิดหน่อย ปลาหมึกผัดพริกเกลือ จานนี้อร่อยมากครับ รสชาติเข้มข้น เผ็ดนิดๆ เค็มๆเข้าเนื้...
good,atmosphere,0.6,keyword,"อร่อย,ดี,ชอบ,สด,คุ้ม",ร้านอยู่ติดทะเลครับ บรรยากาศเย็นๆ หาไม่ยาก คนเยอะ ที่นั่งก็มีเยอะ สามารถรองรับลูกค้าได้จำนวนมาก การบริการ ดี .... รวดเร็วทันใจ รายการอาหารที่สั่ง 1.กรรเชียงปู 810 ปูสดดี น้ำจิ้มยังไม่เด็ดเท่าไหร่ 2.ยำหอยแครง 910 อร่อย ชอบๆ หอยใหญ่ๆ เต็มคำมาก 3.หมึกไข่ย่าง 810 ตัวใหญ่ คุ้มค่ามาก น้ำจิ้มยังไม่เด็ด ส่วนใหญ่อาหารอร่อยครับ อต่วันที่ผมไ...
bad,food,0.6,keyword,"อร่อย,หอม,ไม่อร่อย,เหม็น,เค็ม",ปลาหมึกเหนียว เหม็นคาว อาหารย่างเค็มมาก เนื้อวัวเหนียวแห้งและมีกลิ่นเหม็นสาบ อุด้งเหนียวและรสชาติแปลกๆ ซูชิข้าวจืดและแทบไม่มีรสชาติ ซูชิแบบย่างไฟอ่อนย่างสุกเกินไป กิมจิมีแต่รส้ผ็ดกับเปรี้ยวไม่อร่อย ปลากระพงเหม็นคาว ที่พอกินได้มีแต่แซลมอนดิบ วาซาบิไม่หอม
good,atmosphere,0.6,keyword,"ดี,แนะนำ,แข็ง,ราคา,บรรยากาศ",มื้อนี้คิดอะไรไม่ออก แต่อยากทานอาหารญี่ปุ่น เลยขอมาลงที่ร้าน Tadaima ละกันค่ะ ซึ่งสาขานี้ที่ MBK ชั้น 7 ค่ะ ชั้นเดียวกับโรงหนังเลยค่ะ สำหรับบรรยากาศร้านนี้เน้นการตกแต่งด้วยไม้สไตล์ญี่ปุ่นๆ แบบเรียบๆ ก็โอเค น่านั่งดีอยู่ค่ะ สำหรับเมนูของทางร้านมีทั้งแบบ Buffet และแบบ A la carte ซึ่งหากใครสายแข็งอยากจัดหนัก ก็แนะนำบุฟเฟต์เลยค่ะ ราคาจะมีอยู่ 2 ราคา เริ่มต้นที่ 299 กับอีกราคา 498....
bad,service,0.6,keyword,"ดี,แย่,แพง,พนักงาน,บริการ",แย่คะ ระหว่างรอคิวขอเข้าห้องน้ำเข้าถ่ายรูประหว่างรอคิวขอถ่ายรูปก่อนยังไม่ได้เลยบริการแย่มากๆอาหารก็เฉยๆแพงด้วย อย่าไปเลย พนักงานพูดไม่ดีเลย
good,service,0.6,keyword,"อร่อย,ชอบ,คุ้ม,เร็ว,พนักงาน",มุมอร่อย ลงทุนเปิดเเมพมาค่ะ ไกลหน่อยนะจากบางแสนแต่คุ้มค่าจริงๆ ร้านอาหารใหญ่ค่ะเหมาะกับอารมณ์ครอบครัวมาทานข้าว พนักงานเยอะ บริการทั่วถึง จากรับจากหน้าร้านมานั่งที่โต๊ะ เอาเมนูมาให้ รัยเมนู เสิร์ฟ จนเชคบิล อาหารก็ได้เร็วนะคะ เริ่มกันที่เมนูแรกเลย กุ้งอบเนยมุมอร่อย สูตรเด็ดเฉพาะร้าน หาทานไม่ได้ที่ไหนกุ้งประมาณ56 ตัวราคา 300 อร่อยค่ะชอบเมนูมากกกกก หัวกุ้งมันๆคลุกแล้วน้ำซอสของเขาอร่อยมากค่ะ ส่...
good,service,0.6,keyword,"ชอบ,นุ่ม,รอนาน,รอ,คิว",มาเยาวราชถ้าเป็นสายขนมหรือขนมปังแล้วละก็ร้านนึงที่พูดถึงกันมากก็คือร้านขนมปังปิ้งเจ้านี้เลยหาไม่ยากร้านที่คนเยอะๆนั่นแหละ มาถึงก็รีบไปเอาบัตรคิวสั่งขนมปังเลยครับไม่งั้นรอนาน โดยขนมปังของร้านจะมีแบบกรอบนอกนุ่มใน แบบเนยกรอบ และก็แบบโกโก้กรอบ โดยถ้าเป็นเนยน้ำตาล 15 บาท เพิ่มใส้ 20 บาท ซึ่งจากการชิมแล้วถ้าชอบกินแบบไส้แน่นๆควรสั่งแบบกรอบนอกนุ่มในครับ ส่วนตัวชอบใส้สังขยาไข่ที่สุดอ...
good,atmosphere,0.6,keyword,"แนะนำ,สด,ช้า,ช้า,ราคา","ร้านนมสดและขนมปังปิ้งเจ้าดังย่านเสาชิงช้าทานมาตั้งแต่ยังเรียนมัธยมต้นจนตอนนี้แก่แล้วค่ะ รสชาตนมยังคงคุณภาพแต่ขนมปังปิ้งส่วนตัวคิดว่าไม่ค่อยฉ่ำเหมือนแต่ก่อนค่ะแต่ก็ยังโอเคราคาไม่แรงคนเยอะมากโดยเฉพาะตอนกลางคืนเยอะจนจะปิดร้านเพราะร้านไม่ใหญ่บวกกับคนซื้อกลับบ้านก็เยอะที่จอดไม่ต้องพูดถึงไม่มีค่ะหาเอาแบบเสี่ยงดวงที่จะโดนล็อกล้อกันไปเมนูแนะนำก็จะมีนมสดร้อนเย็น,ขนมปังเนยนม,เนยสังขยา,เนยช็อคค่ะ"
good,atmosphere,0.6,keyword,"ดี,สด,ร้าน,เสียง,ที่นั่ง",ขึ้นชื่อว่า อาหารเวียดนาม ในเชียงใหม่ คงนึกถึงร้านอื่นๆ ไม่ได้ นอกจาก เธีย อาโก๋ Thia Go อ่านจากรีวิว และเสียงปากต่อปากแล้ว ที่นี่คืออาหารเวียดนามที่ไม่มีใครไม่รู้จัก เป็นร้านเล็กๆ มีที่นั่งประมาณ1040 ที่ ช่วงเย็น คนอาจจะเต็มทุกโต๊ะหน่อย มาวันนี้โชคดีที่มีโต๊ะ ฝนตกด้วย และมาที่นี่ พลาดไม่ได้ต้องทาน เฝอ บุ๋นบ่อเฮ้ว ยำขนมจีนหมูผัด ปอเปี๊ยะสดหมู กุ้ง นอกจากนี้ยังมีปอเปี๊ยะทอด ขนมเบื้องญวน แ...
bad,service,0.6,keyword,"ดี,ช้า,แพง,ผิดหวัง,รอ",เวลานึกไม่ออกว่าจะกินอะไรเป็นอาหารเช้าดี ก๋วยจั๊บมิสเตอร์โจก็ลอยเด่นออกมาเลย แต่เพราะรีวิวร้านนี้บ่อยแล้ว เช้านี้เลยอยากลองอะไรที่แปลกใหม่ไปกว่าเดิม นั่นคือการสั่งเมนูติ่มซำเข้ามาเพิ่ม ทั้งซาลาเปา 3 รส และขนมจีบอีก 2 ชนิด ยอมรับเลยว่าราคาไม่แพงมากเมื่อเทียบกับเมนูหลักอย่างก๋วยจั๊บและหมูกรอบ แต่ผลลัพธ์ที่ได้ก็น่าผิดหวังอยู่นา เนื้อซาลาเปาเป็นแบบที่กินแล้วติดเห...
bad,atmosphere,0.6,keyword,"ดี,แย่,ห่วย,บริการ,รอ",บรรยากาศให้ 10 อาหารให้ 7 บริการให้ 0 ไปเลยจ้า บริการแย่ ถึงขั้นห่วย คือไม่บริการอะไรเลย สั่งอาหารเอง ตักน้ำเอง รินน้ำเอง ไม่มีหลอดให้จ้า ร้านนี้ ต้องกระดกเอาจ้า เด็กก็กระดกหกกันไปเลยคร่า อาหารเหลือไม่ได้นะคะร้านนี้ ไม่มีถุงไม่มีกล่องให้ใส่กลับคะ ต้องซื้อปิ่นโตที่ร้านเท่านั้น กุ้งเหลือ ถึงกับต้องใส่ หลุยส์ วิกตอง กลับเลยคะ 555 เข้าใจว่าอาจต้องการลดโลกร้อน แต่เดี๋ยวนี้ หลอดก...
good,service,0.6,keyword,"อร่อย,ดี,ชอบ,พนักงาน,บริการ",สำหรับผมไม่ได้เป็นคนชอบข้าวซอยอยู่แล้ว แต่สำหรับร้านนี้ผมให้ผ่านในเรื่องรสชาติ แต่ที่ผ่านแบบเต็ม 10 คือบริการ น้องๆพนักงานน่ารักแบบมากๆๆๆ ยิ้มแย้มตลอดแม้คิวจะเยอะ ลูกค้าถามคิวไม่หยุด ะบบจัดการดีมาก การรันคิวทำได้วิวใช้เวลารอ 40 คิวจบภายใน 30 นาที อาหาร โดยรวมอร่อยครับ แต่ไม่ได้ว้าวขนาดนั้นนะ ผมให้ 810 อะ บรรยากาศ เฉยๆคราบ ราคา ไม่ได้แรงเท่าที่คิด ตกประมาณชามละ 100200 โดยรวม ควรไปโดน
good,price,0.6,keyword,"สด,ถูกใจ,ถูก,ร้าน,ที่จอด",ร้านมีที่จอดจำกัด แต่อาหารถูกใจทุกอย่าง ปลาสด คั่วกลิ้งเริ่ด
good,price,0.6,keyword,"อร่อย,ดี,ชอบ,สวย,หอม",ร้านSeasalt ไม่ได้มานานแระ ร้านนี้บรรยากาศดีให้เต็ม 5 ดาว ร้านสวย น่านั่ง ต้องมาใกล้ๆพระอาทิตย์ตก ท้องฟ้าสวยงามมากค่ะ ร้านนี้ราคาอาหารค่อนข้างสูง แต่อาหารรสชาติดีและอร่อยค่ะ เมนูที่สั่งวันนี้ เครปเนิ้อกรรเชียงปูอบชีส 340 บาท ราคาสูงแต่อร่อยมากค่ะ ชีสเยอะ หอมชีส อร่อยรสชาติดี ขาหมูเยอรมัน 520 บาท กรอบนอกนุ่มใน อร่อยอีกเช่นกัน ปลากระพงฟองดู 550 บาท จานนี้ชอบมาก มากี่ครั้งก็ต้องสั่ง อร่อยค่ะ แซ่บ ...
good,price,0.6,keyword,"อร่อย,ดี,คุ้ม,เหม็น,บาท",บุฟเฟ่ sunday brunch หัวละเกือบ 3000 บาท อร่อยแต่อาจจะไม่คุ้มค่าเท่าไหร่ ของดีๆที่เด็ดๆคือ เนื้อแกะอร่อยไม่เหม็น โรยด้วย sea salt คือฟินไปอีก อีกอย่างคือฟัวกราซอสมะม่วงสุก และchocolate fondant with vanilla icecream
bad,service,0.6,keyword,"น้อย,แข็ง,พนักงาน,รอ,โต๊ะ",ตั้งแต่มาถึงจนสั่งอาหาร จนกับข้าวจานแรกมา แล้วก็นั่งมองจานแรกอยู่เกือบ 10นาที ก็ยังไม่มีจานเปล่ามาวางให้ จนเรียกพนักงานขอจาน แล้วก็ต้องนั่งรออีกน่าจะ5นาที กว่าจะได้จาน ตอนที่จะสั่งอาหารพนักงานก็ไม่สนใจ สนใจแต่โต๊ะที่มากันหลายๆคน เราก็ไม่ได้สั่งน้อยๆนะ ค่าอาหารบวกเซอวิสชาร์จก็พันสองปลายๆ แถมไม่มาเติมน้ำเติมเบียร์ให้สักครั้ง สั่งเบียร์วุ้นมาก็ไม่เห็นจะวุ้น แค่เบียร์ใส่น้ำแข็งธรรมดามาก น้ำราดมะม่ว...
bad,service,0.6,keyword,"ดี,รอนาน,แข็ง,พนักงาน,รอ",ร้านอาหารจีนที่เค้าว่ากันว่าจองนานที่สุด แต่ครั้งนี้โชคดีมากจองแค่วันเดียวก็ได้คิวเลย พนักงานแจ้งว่าถ้าเป็นวันธรรมดาค่อนข้างจะยังว่างทุกวันค่ะ ผิดกับครั้งแรกที่มาทานวันเสาที่ต้องรอนานเป็นเดือน การเดินทางก็สะดวกมากมีที่จอดรถภายในโรงแรมหรือมาทางบีทีเอสก็มีทางเชื่อมเดินเข้ามาได้เลย เมนูที่สั่ง แมนยอนฮะเก๋า ใส้กุ้งมาแบบเน้นๆ แต่เนื่องจากไม่ได้ทานทันทีที่มาเสริฟ แป้งจึงแข็งๆชืดๆไปหน่อยค่ะ ขน...
good,atmosphere,0.6,keyword,"อร่อย,ดี,สวย,หอม,นุ่ม",ร้านนี้ปิดมายาวนาน รูปแบบร้านเป็นอะไรที่ดูเหนือมาก เป็นบ้านทรงเหนือ มีตุง ตกแต่งสวยดีค่ะ มาที่นี่ก็ต้องทานอาหารเหนือจิ ออเดิร์ฟ อาหารเมือง ใน เซ็ทจะมีแกงฮังเล น้ำพริกอ่อง น้ำพริกหนุ่ม แคบหมู ไส้อั่ว รวมๆ แล้วโอเคนะคะ รสไม่จัด นุ่มนวล ไม่เผ็ดเลยค่ะ น้ำพริกอ่องอร่อยค่ะ เหมือนว่าเค้าใส่มะเขือเทศเยอะ ทำให้ออกรสเปรี้ยวหวาน อร่อยหอมมะเขือเทศดีค่ะ อย่างอื่นเฉยๆ ข้าวซอยไก่ เส้นข้าวซอยเละไปนิดนึง ...
good,service,0.6,keyword,"ดี,สด,น้อย,บริการ,รอ",เราใช้บริการผ่าน Robinhood ช่วงที่ฟรีค่าส่ง ใช้เวลารออาหารนานมากเลย เมนูที่สั่งคือ ปลาหมึกย่าง ปลาหมึกสดดี ย่างมาดี Texture หนึบหนับ ไม่เหนียว มีน้ำจิ้มให้ 2 แบบ คือแบบเผ็ด กับ แบบหวาน กินผสทกัน กำลังดีเลย ข้าวต้มหอยนางรม หอยสดดี ให้หอยต่อนข้างน้อย มีน้ำจิ้มเต้าเจี้ยวให้ รสชาติเฉยๆ ข้าวต้มปลา ทฝทุกอย่างมาเหมือนข้าวต้มหอยนางรม แต่เปลี่ยนเป็นปลา
bad,service,0.6,keyword,"ช้า,ช้า,บาท,ร้าน",ร้านอาหารและขนมสไตล์ญี่ปุ่น มีบุพเฟ่ต์ของหวานด้วยคนละ 280 บาท เป็นร้านอาหารมีข้าว พาสต้า อาหารเช้า ของหวานและเครื่องดื่ม. ร้านน่ารักๆคับแคบไปหน่อยมีสี่ชั้น. ชั้น 34 สำหรับทานบุฟเฟต์เค้ก อาหารคาวรสชาติอ่อนตามสไตล์ญี่ปุ่น ของหวานรสชาติโอเครเลย.
good,atmosphere,0.6,keyword,"ดี,หอม,ร้าน",ติดตามร้านนี้จากรีวิวมานานมาก วันนี้ดวงดีได้ชิมแล้ว ซุปออกหวานๆ แต่กลมกล่อมหอมเครื่องเทศ เครื่องตุ๋นต่างๆมห้เยอะ และเปื่อย สั่งทานที่บ้านก็ได้เยอะ
good,service,0.6,keyword,"อร่อย,ดี,พนักงาน,บริการ,บรรยากาศ",ร้านนี้ผมตามรีวิวรายการเเจ๋วมา กว่าจะหาร้านเจอ นึกว่าหลงทางซะเเล้ว ทางเข้าร้านจะเปงถนนเข้าไป สองข้างทางมืดำอสมควรเพราะผมไปค่ำๆเเล้ว สุดทางถึงตัวร้าน จะเป็นบ้านเรือนไทย บรรยากาศเงียบสงบค้าบ เหมือนอยู่ต่างจังหวัดเลย พนักงานบริการดีค้าบ เหมือนเป็นลูกหลายๆชาวบ้านเเถบนั้น บริการเป็นกันเอง รสชาติอาหาร อร่อยค้าบ โดยเฉพาะ ปูไข่หลน กับปลาหมึกผัดกะปิ อันนี้คอนเฟิม!!! ส่วนเมนูอื่นค่อยข้างจะอร่อยค...
good,service,0.6,keyword,"ดี,นุ่ม,รอ,คิว",ขนมปังกรอบนอกนุ่มใน กรอบนอกนุ่มในเนยนม มีหลายใส้ บอกแบบนี้ดีกว่า มีหลายแบบ ทั้งปังปิ้งเป็นแผ่น ๆ เป็นก้อนกลม ๆ ใส่ใส้ ต่ ต้องต่อคิวนะคะ เขียนใบไว้ ถ้าเรียก เกิน 3 ครั้ง ผ่านนะคะ ต้องไปเขียนบัตรคิวสั่งใหม่นะคะ
bad,price,0.6,keyword,"ดี,แพง,เหม็น,รอ,ราคา",ร้านข้าวมันไก่เจ้าใหญ่มี2ฝั่งซอย ไม่ได้มีแค่ข้าวมันไก่ หมูแดงหมูกรอบข้าวหน้าเป็ด ก๋วยเตี๋ยวก็มี ติ่มซำก็มี แต่ร้านนี้ดังที่ข้าวมันไก่ ไก่เนื้อแน่นเนื้อชุ่ม น้ำจิ้มรสชาติดี ตัวไก่ทอด แป้งกรอบดี ไม่เหม็น ราคาไม่แพง ส่วนเมนูหมูแดงยังไม่เท่าไร น้ำจิ้มหวานๆมีกลิ่นงา ส่วนติ่มซำยังไม่เท่าไร ยังไงหากใครผ่านมาก็ลองแวะเวียนเข้ามาลองทานได้นะครับ
good,service,0.6,keyword,"อร่อย,สด,บริการ,คิว,ร้าน",ขนมจีนสันป่าข่อย ตลาดทองคำ ได้ มิชลินไกด์ สั่งมาลองทุกเมนู อร่อยทุกจานนะ สมรางวัลมิชลิน 3 ปีซ้อน จอดหน้าตลาด ติดรั้ววัดสันป่าข่อยได้ เวลา 915 น. และหลัง 18.00 น. ร้านขนมจีนเปิด 11.0023.00 น. หยุดวันอาทิตย์ เข้าคิวสั่ง บริการตัวเอง เก็บจานเองเหมือนในโรงอาหาร เรากินในตลาดสดเลย 1.ขนมจีนแกงเขียวหวานไก่ 30฿ ไก่ สับติดกระดูกมาให้แทะ ปริมาณไม่เยอะ 2.ขนมจีนแกงเผ็ดเนื้อ 50฿ เผ็ดรสชาติเข้มข้น ...
bad,atmosphere,0.6,keyword,"เค็ม,ผิดหวัง,ร้าน",พิกัดอยู่ที่จังหวัดเชียงใหม่ค่ะ ตอนหัวค่ำนี่ลูกค้าเต็มร้านเลยค่ะ อาหารแต่ละอย่างส่วนตัวแล้วรู้สึกออกเค็มไปนะคะ เค็มมากเกือบทุกเมนูเลยแหละ อันที่จริง บอกตรงๆทานไม่ค่อยได้อ่ะ คิดว่าเหนือเกิ๊น บางอย่างก็ไม่กล้าทาน ห้าๆๆๆ แต่ใครขาทานอาหารพื้นเมือง มาที่นี่น่าจะไม่ผิดหวังค่ะ เพราะที่นี่มีเชฟ ที่ไม่แข่งกับเชฟในรายการกระทะเหล็กด้วยนา ยังไงลองไปทานกันดูนะคะ
bad,atmosphere,0.6,keyword,"สด,แพง,ดิบ,รอ,คิว",รอคิวนานมากกสำหรับมื้อเย็น เป็นร้านที่เหมาะสำหรับวันที่อยากกินหลากหลาย มีน้ำซุป3แบบ เราเลือกน้ำใสกับน้ำดำ น้ำดำหวานไปนิ้ดดดนึงต้องเอาน้ำใสมาเจือหน่อย ราคาแพงไปนิดแต่เทียบกับวัตดุดิบถือว่าโอเค เพราะมีซุชิด้วย แซลมอนไม่คา สดใช้ได้แต่ยังไม่ถึงขั้นฟิน ขอติเรื่องร้านร้อนมาก แอร์เหมือนไม่ได้มีอยู่จริง
good,food,0.6,keyword,ดี,service mind ดี สถานที่ common area กว้าง เลือกนั่งได้ตามใจ
good,atmosphere,0.6,keyword,"อร่อย,ดี,สด,เลิศ,จอดรถ",มาทานดึกๆหน่อยจะมีที่จอดรถค่ะ รสชาติกี่ปีก็ยังเหมือนเดิม อาหารทะเลสดเว่อร์วังอลังการทุกอย่าง บวกกับเทคนิคการทำเลิศล้ำ ทำให้ไม่คาวเลย วันนี้ลองทานหอยนางรมเป็นครั้งแรก เยอะมาก และ อร่อยย ซื้อกลับบ้านฝากป๊าม๊าด้วยจะดีเป็นอย่างยิ่ง
good,atmosphere,0.6,keyword,"อร่อย,ดี,สด,พนักงาน,บริการ",บรรยากาศร้านดี มีที่จอดรถ พนักงานบริการดี อัธยาศัยดี อาหารโดยรวมอร่อยมาก ซูซิสด ปลาสด โรลหลากหลายมากไส้แน่นปั๊ก ข้าวหน้าปลาไหลและปูสไปเดอร์ดีสุด
bad,service,0.6,keyword,"สด,ดิบ,ผิดหวัง,รอ,ถูก",อีกหนึ่งร้านอาหารใต้ที่ควรค่าแก่การลิ้มลอง จัดเต็มเมนูอาหารขึ้นชื่อ ไม่ว่าจะเป็นปูทะเลต้มกะทิ ห่อหมก ผัดเผ็ดสะตอ ฯลฯ พิถีพิถันตั้งแต่การเลือกวัตถุดิบไปจนถึงวิธีการทำ รับประกันรสชาติไทยแท้ด้วยรางวัล Thai SELECT ใช้วัตถุดิบท้องถิ่นของไทย สดใหม่ ส่งตรงจากภาคใต้เลยค่ะ มาที่นี่ไม่ผิดหวัง รสมือถูกปาก กินได้ทั้งครอบครัว
good,service,0.6,keyword,"อร่อย,แนะนำ,รอนาน,รอ,ร้าน",ร้าน Isao อยู่ในซอยสุขุมวิท 31 เดินเข้าซอยมาประมาณ 150 เมตร อยู่ซ้ายมือค่ะ ร้านมีขนาดเพียง 1 คูหา นั่งได้ 2 ชั้น ร้านเปิดเป็นเวลานะคะ ถ้าไม่ได้จองแนะนำให้มาช่วงเพิ่งเปิดร้าน จะได้ไม่ต้องรอนานมากค่ะ ชื่อร้าน Isao มาจากชื่อ Chef เอง ร้านออริจินอลมาจาก Chicago USA อาหารที่นี่จึงออกมาเป็น JapaneseWestern fusion ค่ะ อาหารเน้นเป็นซูชิ ที่นอกจากอร่อยเป็นอาหารปากแล้ว ยังตกแต่งมาหน้าตาน่าถ่ายรูปเป็นอ...
